id,programa,latitud,longitud,alcaldia
MEX-AIM-AER-AICMT2-M-GW048,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW049,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW050,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW051,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW052,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW053,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW054,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW055,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW056,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW057,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW058,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW059,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW060,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW061,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW062,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW063,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW064,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW065,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW066,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW067,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW068,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW069,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW070,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW071,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW072,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW073,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW074,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW075,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW076,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW077,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW078,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW079,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW080,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW081,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW082,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW083,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW084,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW085,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW086,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW087,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW088,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW089,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW090,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW091,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW092,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW093,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW094,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW095,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW096,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW097,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW098,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW099,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW100,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW101,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW102,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW103,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW104,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW105,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW106,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW107,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW108,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW109,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW110,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW111,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW112,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW113,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW114,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW115,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW116,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW117,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW118,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW119,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW120,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
MEX-AIM-AER-AICMT2-M-GW121,Aeropuerto,19.42137,-99.07803,Venustiano Carranza
